B00,King's Pawn Opening; B00,e2e4,
D17,"Fazekas Gambit, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8a6 e2e4,
D17,"Carlsbad Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3e5 b8d7 e5c4 d8c7 g2g3 e7e5,
D17,"Baarn Variation, Slav; Bled Attack",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8f5 f3h4,
D16,"Steiner Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 c8g4,
D16,"Soultanbeieff Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 e7e6,
D16,"Smyslov Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 a2a4 b8a6,
D15,"Alekhine Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e3,
D15,"Alekhine Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e3 b7b5 a2a4 b5b4,
D15,"Geller Variation; Geller-Tolush Var, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d5c4 e2e4,
D15,"Schlechter Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 g7g6,
D15,"Suchting Variation, Slav",d2d4 d7d5 c2c4 c7c6 g1f3 g8f6 b1c3 d8b6,
D20,Queen's Gambit Accepted; D20,d2d4 d7d5 c2c4 d5c4,
D20,"Old Variation, QGA",d2d4 d7d5 c2c4 d5c4 e2e3,
D20,"Korchnoi Gambit, QGA",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 e1f1,
D20,"Novikov Gambit, QGA",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 b1d2,
D20,"Christensen Gambit, QGA",d2d4 d7d5 c2c4 d5c4 e2e3 e7e5 f1c4 e5d4 d1b3 d8e7 g1f3,
D20,"Saduleto Variation, QGA; Central Variation, QGA",d2d4 d7d5 c2c4 d5c4 e2e4,
D20,"Greco Variation, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 b7b5,
D20,"Rubinstein Variation, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 c7c5,
D20,"Yefimov Gambit, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 c7c5 d4d5 b7b5,
D20,"Linares Variation, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 c7c5 d4d5 g8f6 b1c3 b7b5,
D20,"McDonnell Defense, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 e7e5,
D20,"Somov Gambit, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 e7e5 f1c4,
D01,Betbeder; Veresov; Levitzky; Parisian,d2d4 d7d5 c2c4 d5c4 e2e4 f7f5,
D20,"Versov; Betbeder; Schwartz Defense, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 f7f5,
D20,"Modern Defense, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 b8c6,
D20,"Alekhine System, QGA",d2d4 d7d5 c2c4 d5c4 e2e4 g8f6,
D21,"Blackburne's Move, QGA; Normal Variation, QGA; D21",d2d4 d7d5 c2c4 d5c4 g1f3,
D21,"Alekhine Variation, QGA",d2d4 d7d5 c2c4 d5c4 g1f3 a7a6,
D22,D22,d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3,
D22,"Haberditz Variation, QGA",d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 b7b5,
D22,"Alekhine Variation, QGA",d2d4 d7d5 c2c4 d5c4 g1f3 a7a6 e2e3 c8g4,
